#TYPE Selected.System.ServiceProcess.ServiceController
"Status","Name","DisplayName","BinaryPathName"
"Stopped","AarSvc_3555f78","Agent Activation Runtime_3555f78",
"Running","AESMService","Intel? SGX AESM",
"Stopped","AJRouter","AllJoyn Router Service",
"Stopped","ALG","Application Layer Gateway Service",
"Stopped","AppIDSvc","Application Identity",
"Running","Appinfo","Application Information",
"Stopped","AppReadiness","App Readiness",
"Running","AppXSvc","AppX Deployment Service (AppXSVC)",
"Running","AudioEndpointBuilder","Windows Audio Endpoint Builder",
"Running","Audiosrv","Windows Audio",
"Stopped","autotimesvc","Cellular Time",
"Stopped","AxInstSV","ActiveX Installer (AxInstSV)",
"Stopped","BcastDVRUserService_3555f78","GameDVR and Broadcast User Service_3555f78",
"Stopped","BDESVC","BitLocker Drive Encryption Service",
"Running","BFE","Base Filtering Engine",
"Running","BITS","Background Intelligent Transfer Service",
"Running","BluetoothUserService_3555f78","Bluetooth User Support Service_3555f78",
"Running","BrokerInfrastructure","Background Tasks Infrastructure Service",
"Running","BTAGService","Bluetooth Audio Gateway Service",
"Running","BthAvctpSvc","AVCTP service",
"Running","bthserv","Bluetooth Support Service",
"Running","camsvc","Capability Access Manager Service",
"Stopped","CaptureService_3555f78","CaptureService_3555f78",
"Running","cbdhsvc_3555f78","Clipboard User Service_3555f78",
"Running","CDPSvc","Connected Devices Platform Service",
"Running","CDPUserSvc_3555f78","Connected Devices Platform User Service_3555f78",
"Running","CertPropSvc","Certificate Propagation",
"Running","ClickToRunSvc","Microsoft Office Click-to-Run Service",
"Running","client_service","VMware Horizon Client",
"Stopped","ClipSVC","Client License Service (ClipSVC)",
"Stopped","COMSysApp","COM+ System Application",
"Stopped","ConsentUxUserSvc_3555f78","ConsentUX_3555f78",
"Running","CoreMessagingRegistrar","CoreMessaging",
"Running","cphs","Intel(R) Content Protection HECI Service",
"Running","cplspcon","Intel(R) Content Protection HDCP Service",
"Stopped","CredentialEnrollmentManagerUserSvc_3555f78","CredentialEnrollmentManagerUserSvc_3555f78",
"Running","CryptSvc","Cryptographic Services",
