#TYPE System.IO.FileInfo
"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Mode","VersionInfo","BaseName","Target","LinkType","Name","Length","DirectoryName","Directory","IsReadOnly","Exists","FullName","Extension","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","Attributes"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\Audits\Commercial_audit_checklist_tool.xlsx","Microsoft.PowerShell.Core\FileSystem::C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\Audits","Commercial_audit_checklist_tool.xlsx","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\Audits\Commercial_audit_checklist_tool.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","Commercial_audit_checklist_tool","System.Collections.Generic.List`1[System.String]",,"Commercial_audit_checklist_tool.xlsx","221129","C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\Audits","C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\Audits","False","True","C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\Audits\Commercial_audit_checklist_tool.xlsx",".xlsx","11/30/2022 1:24:09 PM","11/30/2022 6:24:09 PM","11/30/2022 2:29:34 PM","11/30/2022 7:29:34 PM","7/14/2016 8:54:46 AM","7/14/2016 12:54:46 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\ChangeRequests\DoD_Master_Office_2010_Settings_v1.0.xlsx","Microsoft.PowerShell.Core\FileSystem::C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\ChangeRequests","DoD_Master_Office_2010_Settings_v1.0.xlsx","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\ChangeRequests\DoD_Master_Office_2010_Settings_v1.0.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","DoD_Master_Office_2010_Settings_v1.0","System.Collections.Generic.List`1[System.String]",,"DoD_Master_Office_2010_Settings_v1.0.xlsx","319973","C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\ChangeRequests","C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\ChangeRequests","False","True","C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\ChangeRequests\DoD_Master_Office_2010_Settings_v1.0.xlsx",".xlsx","11/30/2022 1:24:09 PM","11/30/2022 6:24:09 PM","11/30/2022 1:24:09 PM","11/30/2022 6:24:09 PM","7/14/2016 11:02:56 AM","7/14/2016 3:02:56 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\ChangeRequests\Microsoft Office 2010 Service Pack 1 Changes.xlsx","Microsoft.PowerShell.Core\FileSystem::C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\ChangeRequests","Microsoft Office 2010 Service Pack 1 Changes.xlsx","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\ChangeRequests\Microsoft Office 2010 Service Pack 1 Changes.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","Microsoft Office 2010 Service Pack 1 Changes","System.Collections.Generic.List`1[System.String]",,"Microsoft Office 2010 Service Pack 1 Changes.xlsx","40225","C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\ChangeRequests","C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\ChangeRequests","False","True","C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\ChangeRequests\Microsoft Office 2010 Service Pack 1 Changes.xlsx",".xlsx","11/30/2022 1:24:09 PM","11/30/2022 6:24:09 PM","11/30/2022 1:24:09 PM","11/30/2022 6:24:09 PM","7/14/2016 11:02:28 AM","7/14/2016 3:02:28 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\ChangeRequests\thoughtfarmer-intranet-content-migration-worksheet.xlsx","Microsoft.PowerShell.Core\FileSystem::C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\ChangeRequests","thoughtfarmer-intranet-content-migration-worksheet.xlsx","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\ChangeRequests\thoughtfarmer-intranet-content-migration-worksheet.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","thoughtfarmer-intranet-content-migration-worksheet","System.Collections.Generic.List`1[System.String]",,"thoughtfarmer-intranet-content-migration-worksheet.xlsx","30931","C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\ChangeRequests","C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\ChangeRequests","False","True","C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\ChangeRequests\thoughtfarmer-intranet-content-migration-worksheet.xlsx",".xlsx","11/30/2022 1:24:09 PM","11/30/2022 6:24:09 PM","11/30/2022 1:24:09 PM","11/30/2022 6:24:09 PM","7/14/2016 11:02:36 AM","7/14/2016 3:02:36 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\CoverLetters\the-cover-letter.docx","Microsoft.PowerShell.Core\FileSystem::C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\CoverLetters","the-cover-letter.docx","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\CoverLetters\the-cover-letter.docx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","the-cover-letter","System.Collections.Generic.List`1[System.String]",,"the-cover-letter.docx","22892","C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\CoverLetters","C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\CoverLetters","False","True","C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\CoverLetters\the-cover-letter.docx",".docx","11/30/2022 1:24:09 PM","11/30/2022 6:24:09 PM","11/30/2022 1:48:57 PM","11/30/2022 6:48:57 PM","1/22/2017 9:22:40 PM","1/23/2017 2:22:40 AM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\FinancialStatements\3yr-Project-Financial-Report-Template.xlsx","Microsoft.PowerShell.Core\FileSystem::C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\FinancialStatements","3yr-Project-Financial-Report-Template.xlsx","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\FinancialStatements\3yr-Project-Financial-Report-Template.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","3yr-Project-Financial-Report-Template","System.Collections.Generic.List`1[System.String]",,"3yr-Project-Financial-Report-Template.xlsx","145129","C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\FinancialStatements","C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\FinancialStatements","False","True","C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\FinancialStatements\3yr-Project-Financial-Report-Template.xlsx",".xlsx","11/30/2022 1:24:09 PM","11/30/2022 6:24:09 PM","11/30/2022 1:24:09 PM","11/30/2022 6:24:09 PM","1/22/2017 8:02:26 PM","1/23/2017 1:02:26 AM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\FinancialStatements\82808-Annual Report Financial Overview Template and Graphs.xlsx","Microsoft.PowerShell.Core\FileSystem::C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\FinancialStatements","82808-Annual Report Financial Overview Template and Graphs.xlsx","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\FinancialStatements\82808-Annual Report Financial Overview Template and Graphs.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","82808-Annual Report Financial Overview Template and Graphs","System.Collections.Generic.List`1[System.String]",,"82808-Annual Report Financial Overview Template and Graphs.xlsx","3079772","C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\FinancialStatements","C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\FinancialStatements","False","True","C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\FinancialStatements\82808-Annual Report Financial Overview Template and Graphs.xlsx",".xlsx","11/30/2022 1:24:10 PM","11/30/2022 6:24:10 PM","11/30/2022 1:24:10 PM","11/30/2022 6:24:10 PM","1/22/2017 8:02:42 PM","1/23/2017 1:02:42 AM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\FinancialStatements\FinancialStatementFY12Q2.xlsx","Microsoft.PowerShell.Core\FileSystem::C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\FinancialStatements","FinancialStatementFY12Q2.xlsx","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\FinancialStatements\FinancialStatementFY12Q2.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","FinancialStatementFY12Q2","System.Collections.Generic.List`1[System.String]",,"FinancialStatementFY12Q2.xlsx","78249","C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\FinancialStatements","C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\FinancialStatements","False","True","C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\FinancialStatements\FinancialStatementFY12Q2.xlsx",".xlsx","11/30/2022 1:24:10 PM","11/30/2022 6:24:10 PM","11/30/2022 1:24:10 PM","11/30/2022 6:24:10 PM","7/14/2016 11:02:22 AM","7/14/2016 3:02:22 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\FinancialStatements\GPAF IMP 067 Annual Financial Report 300414.xlsx","Microsoft.PowerShell.Core\FileSystem::C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\FinancialStatements","GPAF IMP 067 Annual Financial Report 300414.xlsx","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\FinancialStatements\GPAF IMP 067 Annual Financial Report 300414.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","GPAF IMP 067 Annual Financial Report 300414","System.Collections.Generic.List`1[System.String]",,"GPAF IMP 067 Annual Financial Report 300414.xlsx","184360","C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\FinancialStatements","C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\FinancialStatements","False","True","C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\FinancialStatements\GPAF IMP 067 Annual Financial Report 300414.xlsx",".xlsx","11/30/2022 1:24:10 PM","11/30/2022 6:24:10 PM","11/30/2022 1:24:10 PM","11/30/2022 6:24:10 PM","1/22/2017 8:03:26 PM","1/23/2017 1:03:26 AM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\FinancialStatements\SBR FY 2016 Annual Report Template 7-21-16 Final.xlsx","Microsoft.PowerShell.Core\FileSystem::C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\FinancialStatements","SBR FY 2016 Annual Report Template 7-21-16 Final.xlsx","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\FinancialStatements\SBR FY 2016 Annual Report Template 7-21-16 Final.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","SBR FY 2016 Annual Report Template 7-21-16 Final","System.Collections.Generic.List`1[System.String]",,"SBR FY 2016 Annual Report Template 7-21-16 Final.xlsx","47716","C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\FinancialStatements","C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\FinancialStatements","False","True","C:\Users\dthom\Documents\SYS-320\Week13\Classwork\Documents\Documents\FinancialStatements\SBR FY 2016 Annual Report Template 7-21-16 Final.xlsx",".xlsx","11/30/2022 1:24:10 PM","11/30/2022 6:24:10 PM","11/30/2022 1:24:10 PM","11/30/2022 6:24:10 PM","1/22/2017 8:02:24 PM","1/23/2017 1:02:24 AM","Archive"
