### BEGIN netstat -an ###



Active Connections



  Proto  Local Address          Foreign Address        State

  TCP    0.0.0.0:22             0.0.0.0:0              LISTENING

  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING

  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING

  TCP    0.0.0.0:902            0.0.0.0:0              LISTENING

  TCP    0.0.0.0:912            0.0.0.0:0              LISTENING

  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING

  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING

  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING

  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING

  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING

  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING

  TCP    0.0.0.0:49670          0.0.0.0:0              LISTENING

  TCP    0.0.0.0:49824          0.0.0.0:0              LISTENING

  TCP    0.0.0.0:57621          0.0.0.0:0              LISTENING

  TCP    100.64.8.119:139       0.0.0.0:0              LISTENING

  TCP    100.64.8.119:49677     52.226.139.121:443     ESTABLISHED

  TCP    100.64.8.119:49750     52.42.148.183:443      ESTABLISHED

  TCP    100.64.8.119:49769     34.197.154.209:443     ESTABLISHED

  TCP    100.64.8.119:49770     54.164.23.235:443      ESTABLISHED

  TCP    100.64.8.119:49772     52.7.163.144:443       ESTABLISHED

  TCP    100.64.8.119:49773     54.147.2.103:443       ESTABLISHED

  TCP    100.64.8.119:49825     34.158.253.218:4070    ESTABLISHED

  TCP    100.64.8.119:49828     35.186.224.47:443      ESTABLISHED

  TCP    100.64.8.119:49830     35.186.224.43:443      ESTABLISHED

  TCP    100.64.8.119:50463     172.253.63.188:5228    ESTABLISHED

  TCP    100.64.8.119:50654     23.203.16.10:443       CLOSE_WAIT

  TCP    100.64.8.119:51749     162.159.135.234:443    ESTABLISHED

  TCP    100.64.8.119:62608     35.186.224.47:443      ESTABLISHED

  TCP    100.64.8.119:62991     72.21.91.29:80         CLOSE_WAIT

  TCP    100.64.8.119:62992     52.96.109.242:443      ESTABLISHED

  TCP    100.64.8.119:63104     72.21.81.200:443       CLOSE_WAIT

  TCP    100.64.8.119:63119     152.199.24.163:443     CLOSE_WAIT

  TCP    100.64.8.119:63121     18.165.98.8:443        ESTABLISHED

  TCP    100.64.8.119:63208     54.226.184.230:443     ESTABLISHED

  TCP    100.64.8.119:63231     18.210.228.231:443     ESTABLISHED

  TCP    100.64.8.119:63405     13.68.233.9:443        TIME_WAIT

  TCP    100.64.8.119:63412     35.186.224.25:443      ESTABLISHED

  TCP    100.64.8.119:63426     20.189.173.9:443       TIME_WAIT

  TCP    100.64.8.119:63444     40.79.197.35:443       LAST_ACK

  TCP    127.0.0.1:6463         0.0.0.0:0              LISTENING

  TCP    127.0.0.1:9000         0.0.0.0:0              LISTENING

  TCP    127.0.0.1:9001         0.0.0.0:0              LISTENING

  TCP    127.0.0.1:9001         127.0.0.1:63323        ESTABLISHED

  TCP    127.0.0.1:9002         0.0.0.0:0              LISTENING

  TCP    127.0.0.1:9002         127.0.0.1:63304        ESTABLISHED

  TCP    127.0.0.1:9002         127.0.0.1:63318        ESTABLISHED

  TCP    127.0.0.1:9003         0.0.0.0:0              LISTENING

  TCP    127.0.0.1:9003         127.0.0.1:63324        ESTABLISHED

  TCP    127.0.0.1:9004         0.0.0.0:0              LISTENING

  TCP    127.0.0.1:9004         127.0.0.1:63315        ESTABLISHED

  TCP    127.0.0.1:9010         0.0.0.0:0              LISTENING

  TCP    127.0.0.1:9010         127.0.0.1:49763        ESTABLISHED

  TCP    127.0.0.1:9080         0.0.0.0:0              LISTENING

  TCP    127.0.0.1:9100         0.0.0.0:0              LISTENING

  TCP    127.0.0.1:9100         127.0.0.1:49761        ESTABLISHED

  TCP    127.0.0.1:9180         0.0.0.0:0              LISTENING

  TCP    127.0.0.1:45654        0.0.0.0:0              LISTENING

  TCP    127.0.0.1:49761        127.0.0.1:9100         ESTABLISHED

  TCP    127.0.0.1:49763        127.0.0.1:9010         ESTABLISHED

  TCP    127.0.0.1:50520        127.0.0.1:50521        ESTABLISHED

